inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	-0.930385	
inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	-2.879030	inf	
inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	-2.879030	inf	-0.930385	
inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	-0.930385	inf	-0.930385	inf	
inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	-2.879030	inf	inf	inf	inf	
inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	-4.536500	inf	inf	inf	inf	inf	
inf	inf	inf	inf	inf	inf	inf	inf	inf	-2.879030	inf	-0.930385	inf	inf	inf	inf	
inf	inf	inf	inf	inf	inf	inf	inf	-2.879030	inf	-2.879030	inf	inf	inf	inf	inf	
inf	inf	inf	inf	inf	inf	inf	-2.879030	inf	inf	inf	inf	inf	inf	inf	-0.930385	
inf	inf	inf	inf	inf	inf	-4.536500	inf	inf	inf	inf	inf	inf	inf	-2.879030	inf	
inf	inf	inf	inf	inf	-4.536500	inf	-0.930385	inf	inf	inf	inf	inf	-2.879030	inf	-0.930385	
inf	inf	inf	inf	-2.879030	inf	-2.879030	inf	inf	inf	inf	inf	-0.930385	inf	-0.930385	inf	
inf	inf	inf	-0.930385	inf	inf	inf	inf	inf	inf	inf	-0.930385	inf	inf	inf	inf	
inf	inf	-2.879030	inf	inf	inf	inf	inf	inf	inf	-0.930385	inf	inf	inf	inf	inf	
inf	-2.879030	inf	-0.930385	inf	inf	inf	inf	inf	-0.930385	inf	-0.930385	inf	inf	inf	inf	
-0.930385	inf	-0.930385	inf	inf	inf	inf	inf	-0.930385	inf	-0.930385	inf	inf	inf	inf	inf	
